Question,Answer
J.K. Rowling handpicked which actor to play Severus Snape in the Harry Potter films?,Alan Rickman
How many Academy Awards in total did the 'Harry Potter' movie series win?,0
The highest-grossing of the 'Harry Potter' movies was which one?,Deathly Hallows - Part 2
Who was the screenwriter for the majority of the 'Harry Potter' movies?,Steve Kloves
"Which castle, seat of the Duke of Northumberland, has been used as Hogwarts in the Harry Potter films?",Alnwick
In what year was the first 'Harry Potter' movie released?,2001
What type of vehicle is the Hogwarts Express?,Steam train
What color are howlers?,Red
What is the title of the first Harry Potter book?,Harry Potter and the Philosopher's Stone
How many sisters does Ron Weasley have?,1
How many spells does Harry cast in the Sorcerer's Stone movie?,None
What is Moaning Myrtle?,A ghost
Which of these is not a Hogwarts school house?,Hocus Pocus
What sort of establishment is the Leaky Cauldron?,Pub
Where does Hagrid keep his wand?,In His Umbrella
What is the favorite drink of wizards in the Harry Potter universe?,Butterbeer
Which year saw the release of The Goblet of Fire?,2000
Aberforth Dumbledore was prosecuted for practicing charms on what animal?,Goat
In what year was the last 'Harry Potter' movie released?,2011
What was the angel on top of the Weasley's Christmas tree?,A Gnome
"Vernon and Petunia Dursley live in Little Whinging, in which English county?",Surrey
How does George say he feels after losing his ear?,Saintlike
"In the 'Harry Potter' series, what is Aragog?",A Giant Spider
How many Harry Potter books were there in total?,7
What model is the Weasleys' flying car?,Ford Anglia
What is the core material of Harry's wand?,Phoenix feather
Who does McGonagall tell that their wand needs replacing?,Ron
What was the highest-grossing of the 'Harry Potter' movies?,Deathly Hallows - Part 2
Who succeeds Oliver Wood as the captain of the Gryffindor Quidditch team?,Angelina Johnson
The Deathly Hallows was published in what year?,2007
What type of wood is Harry's wand made from?,Holly
How long is Harry's wand?,11 inches
What is the primary ingredient needed to transform into another person using Polyjuice Potion?,A piece of the person you want to transform into (like hair or skin)
Who was the cinematographer for the final two 'Harry Potter' movies?,Eduardo Serra
Who directed the last three 'Harry Potter' movies?,David Yates
How long does it take to brew Polyjuice Potion properly?,One month
"In Harry Potter and the Sorcerer's Stone, what color is the stone?",Red
What is the name of Professor Dumbledore's brother?,Aberforth
"In the Half-Blood Prince, who says of Harry 'He's covered in blood again'?",Ginny
What one word does Snape use to describe his love for Lily Potter?,Always
Who has Voldemort recruited as a Death Eater at the start of book 6?,Draco
"What Nationality is Alfonso Cuarón, who directed the third Harry Potter Movie?",Mexican
Who created the score for the first three 'Harry Potter' movies?,John Williams
Which studios distributed the 'Harry Potter' movies?,Warner Bros.
What plant did Neville Longbottom use to win the final battle at Hogwarts?,Herbology expert Neville used a Venomous Tentacula.
What subject does Professor McGonagall teach at Hogwarts?,Transfiguration
What was Tom Riddle's full name?,Tom Marvolo Riddle
What birthday did Harry celebrate in the first book?,11
How old was Sirius Black when he died?,38
What is the name of Luna Lovegood's father?,Xenophilius Lovegood
What is the name of the conductor of the Knight Bus?,Stan Shunpike
What is Ginny Weasley's full first name?,Ginevra
What position does Kingsley Shacklebolt hold during the Second Wizarding War?,Head of the Auror Office
What is the name of the bank run by goblins in the Wizarding World?,Gringotts Bank
What is the name of the magical creature that can only be seen by those who have witnessed death?,Thestral
What is Voldemort’s mother’s name?,Merope Gaunt
What is Harry’s middle name?,James
"What is the name of the popular wizarding newspaper based in London, England?",The Daily Prophet
What kind of wood is Harry’s first wand made out of?,Holly
Who wrote A History of Magic?,Bathilda Bagshot
What are employees of the Department of Mysteries called?,Unspeakables
What magical creature is known for guarding Gringott’s Bank?,"Ukrainian Ironbelly, a type of dragon"
What is Hermione’s cat’s name?,Crookshanks
Question: What does Harry name his children?,"James Sirius, Albus Severus and Lily Luna."
Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock
What does Harry do to impress Professor McGonagall enough that she gets him on the Gryffindor Quidditch team?,Catches Neville Longbottom’s Remembrall
Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles
Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”
Who played Professor Dumbledore in the first movie?,Richard Harris
What is the title of this book and movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone
Who discovered the 12 uses for dragon blood?,Professor Dumbledore
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998
How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it."
What was the Fat Lady’s password to get into the Gryffindor common room?,Caput Draconis
What is the first line of the book?,"“Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.”"
Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions
What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece
This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it?,The Bodleian Library at Oxford University
"In the movie, Professor McGonagall explains the origins of the Chamber of Secrets. Who does it in the book?","Professor Binns, the history teacher (who is also a ghost)"
Why does Neville Longbottom faint in Herbology class?,"His earmuffs were loose, so he heard the cry of the baby mandrake."
"On what date do the Weasleys rescue Harry from number four, Privet Drive?","July 31—his birthday, of course!"
Who removes all the bones from Harry’s arm?,Gilderoy Lockhart
"Question:When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office?",Hermione
"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater
What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office
How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school?,Seven
What is Gilderoy Lockhart’s favorite color?,Lilac
What is the cure for being Petrified?,Mandrake root
Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet
What is Gilderoy Lockhart’s autobiography called?,Magical Me
Where did Harry begin hearing the voice that no one else could hear?,In Professor Lockhart’s office
Who is Stan Shunpike?,The conductor of the Knight Bus
Who plays Professor Dumbledore in this and the subsequent Harry Potter movies?,Michael Gambon
How many classes did Hermione Granger take this year?,12!
"During the Quidditch game between Gryffindor and Hufflepuff, who is the Hufflepuff seeker?","Cedric Diggory (unnamed in the movie, but not in the book)"
"In the book, who becomes the temporary guard to the Gryffindor common room after the Fat Lady’s painting is damaged?",Sir Cadogan
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta"
Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers."
"What does Uncle Vernon’s sister, Marge Dursley, do for a living?",Breeds bulldogs
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar
What is Parvati Patil’s Boggart in the book and the movie?,"In the book, a mummy; in the movie, a giant cobra"
And how does Parvati defeat it?,"In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary)."
"At the beginning of the story, where does Hedwig find Harry?",She is waiting in his room at the Leaky Cauldron. Clever owl!
"When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat?",A vulture
"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves)
What two creatures are Hippogriffs a mix of?,Horses and eagles
How much gold do the Weasleys win in the Daily Prophet Grand Prize Galleon Draw?,700 galleons
And where do the Weasleys go on holiday with their winnings?,Egypt
What is Fleur Delacour’s little sister’s name?,Gabrielle
Who can turn into a beetle at will?,Rita Skeeter
What two countries are competing in the Quidditch World Cup Final?,Ireland and Bulgaria
What beloved Hogwarts activity is canceled in the fourth year due to the Triwizard Tournament?,Quidditch
Who grows a beard after trying to cheat their way into the Triwizard Tournament?,Fred and George Weasley (who else?)
Which important characters feature in the book but not the movie?,The Dursleys
Members of which two famous U.K. bands played the band Weird Sisters at the Yule Ball?,Pulp and Radiohead
How does Cedric Diggory defeat his dragon in the first task of the Triwizard Tournament?,He transfigures a rock into a dog to distract it.
What is Mad-Eye Moody’s catchphrase?,“CONSTANT VIGILANCE!”
Which challenge in the Triwizard Tournament maze was left out of the movies?,The Sphinx’s riddle
"In the book, the Weasleys come to pick up Harry for the Quidditch World Cup. Which of Fred and George’s candies does Dudley eat?",Ton-Tongue Toffee
What does Mad-Eye Moody turn Draco Malfoy into?,A ferret
What Quidditch team did Lugo Bagman play for?,Wimbourne Wasps
And what position did Lugo play?,Beater
What is Ron Weasley’s role in S.P.E.W.?,Treasurer
Which exciting moment in the book is cut out of the movie?,Gryffindor winning the Quidditch Cup
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!)."
Which two students came up with the name “Dumbledore’s Army?”,Cho Chang and Ginny Weasley
Which of Harry’s acquaintances reveals that he doesn’t believe Harry’s story about Voldemort being back?,Seamus Finnigan (who eventually comes around)
What is Draco Malfoy’s mother’s name?,Narcissa
What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)"
"In the book, what sport has Dudley recently taken up?",Boxing
What is Hagrid’s half-brother’s name?,Grawp
How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban?,"He grabs Fawkes’s tail, and they disappear in a flash of fire."
Where do Harry Potter and Cho Chang have their first kiss?,In the Room of Requirement
What is the address of the Headquarters of the Order of the Phoenix?,"12 Grimmauld Place, London"
What did Sirius Black’s mother do to his name on the Black family tapestry?,Burned it away
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart
Hermione places a jinx on the piece of parchment members of Dumbledore’s Army sign. What happens to those who betray the group?,Pustules will form the word sneak across their foreheads.
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart
Who concocts a love potion meant for Harry that Ron ends up taking by mistake?,Romilda Vane
And who is Ron’s actual love interest this year?,Lavender Brown
Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket
What is the name of Fred and George Weasley’s shop?,Weasley’s Wizard Wheezes
Who teaches Potions class this year?,Professor Horace Slughorn
What are the gemstones in the cursed necklace Draco Malfoy buys from Borgin and Burkes?,Opals
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra
What does Hermione smell in the amortenia (or love) potion?,"Grass, parchment, spearmint toothpaste and Ron Weasley’s hair"
True or false: This is the longest movie in the franchise.,"False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes."
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis
How many Horcruxes have been destroyed at the end of this story?,Two: the diary and the ring
Who is the Half-Blood Prince?,Severus Snape
What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow?,“Mortal peril”
Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement"
. What are the three D’s of a successful Apparition?,"Destination, determination and deliberation"
. Who loses an ear at the start of the book?,George Weasley
. Which four characters hold the position of Minister of Magic throughout the books?,"Cornelius Fudge, Rufus Scrimgeour, Pius Thicknesse and Kingsley Shacklebolt"
". In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley
". In the movie, who hugs Draco Malfoy?",Voldemort (and it’s super awkward)
. True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.
. Which character do we see ride a broom for the first time in this movie?,Hermione Granger
. On what date did the Battle of Hogwarts end with Voldemort’s death?,2-May-98
. What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage
. What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit
. What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball
. What is Luna Lovegood’s father’s name?,Xenophilius Lovegood
. Who was in love with Helena Ravenclaw?,The Bloody Baron
". In the book, where do Hermione Granger’s parents move to?",Australia
. What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob)
. What is the last line of the last book?,“All was well.”
 How do Lily and Snape meet for the first time?,Snape lived in the same town and introduced himself to Lily after he saw her doing magic. 
 How many Horcruxes did Voldemort create intentionally?,"Six, including Tom Riddle's Diary, Marvolo Gaunt's Ring, Salazar Slytherin's Locket, Helga Hufflepuff's Cup, Rowena Ravenclaw's Diadem, and Nagini the snake."
 What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into
 What is the correct birth order of the Weasley children?,"Bill, Charlie, Percy, Fred and George, Ron, Ginny"
 What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map
 What is the name of the creature guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy
 And type of creature is Fluffy?,A giant three-headed dog.
 What is the name of the magical creature that can only be seen by those who have witnessed death?,Thestral
 What is Voldemort's mother's name?,Merope Gaunt
 What is Harry's middle name?,James
" What is the name of the popular wizarding newspaper based in London, England?",The Daily Prophet
 What kind of wood is Harry's first wand made out of?,Holly
 Who wrote A History of Magic?,Bathilda Bagshot
" Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy
 What is Professor McGonagall’s animagus?,A silver tabby cat
 What fake name does Harry use while attending Bill and Fleur's wedding in disguise in Harry Potter and the Deathly Hallows?,Barny Weasley
" In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan
 What are the employees of the Department of Mysteries called?,Unspeakables
 Where is Gringotts bank located?,"It is located in Diagon Alley in London, England"
 What year was The Goblet of Fire published?,2000
 Which Hogwarts house does Luna Lovegood belong to?,Ravenclaw
 What magical creature is known for guarding Gringott's Bank?,"Ukrainian Ironbelly, a type of dragon"
 What position does Harry play in Quidditch?,Seeker
 Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army?,The Hog's Head
 What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella
 What is Hermione's cat's name?,Crookshanks
 Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron 
 What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears
 Who is the Slytherin ghost?,The Bloody Baron
 What is the name of the couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from retuning to Hogwarts?,Mr. and Mrs. Mason
 What does Harry name his children?,"James Sirius, Albus Severus, and Lily Luna"
 Where would you look to find a bezoar?,In the stomach of a goat
" In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry?",Piers
 And what type of animal does Harry accidentally set free while they're at the zoo?,A boa constrictor 
 What is Voldemort's real name?,Tom Marvolo Riddle
 What year was Prisoner of Azkaban published?,1999
 What does the boggart turn into when Mrs,Her entire family and Harry lying dead on the floor
" In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak?",Tonks
 How was Hermione able to take extra lessons in Prisoner of Azkaban?,She used a time-turner
 Who is magically manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets?,Ginny Weasley
 What is Ron famously afraid of?,Spiders
 What’s the name of Hagrid’s half-brother?,Grawp
 What is Hermione’s patronus?,An otter
 Where was Harry Potter born?,Godric's Hollow
 What is the name of the Gryffindor ghost?,Nearly Headless Nick.
 Which incantation can levitate an object?,Wingardium Leviosa
 What is the name of the Weasley twins’ magic joke shop?,Weasleys’ Wizard Wheezes
 What is the British term for a nonmagical person?,Muggle
 What did Harry do that got him temporarily expelled from Hogwarts?,He chased away dementors
 When is Harry's birthday?,1980/7/31
 What is the name of Hagrid's boarhound dog?,Fang
 Who is Harry's godfather?,Sirius Black 
 Who sent Harry his Firebolt?,Sirius Black 
 What year do Hogwarts students take O,Fifth year
 Which Weasley dies during the final battle of Hogwarts?,Fred Weasley
" Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail
 What magazine does Xenophilius Lovegood publish?,The Quibbler
 What's the address of the Black family home?,12 Grimmauld Place
 Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore
 What is the animal symbol of Ravenclaw?,Eagle
 What class does Professor McGonagall teach?,Transfiguration
 What year was Chamber of Secrets published?,1998
