Question,Answer
什麼生物被認為是奇獸飼育學課上最無聊的生物？,黏巴蟲
以前英國魔法部部門間使用的通訊工具是什麼？,貓頭鷹
金妮衛斯理名字中的“金妮”是什麼的簡稱？,吉尼芙拉（台譯：金妮芙拉）
鄧不利多的鳳凰的名字叫什麼？,佛客使
你能在哪條路上找到波金與伯克氏商店？,夜行巷
家庭小精靈多比最初的主人是誰？,魯休思·馬份
第二學年，哈利·波特和榮恩·衛斯理是通過什麼方式到達學校的？,魔法汽車
歪腿是一隻什麼顏色的貓？,姜黃色
天狼星·布萊克的阿尼馬格斯（化獸師）是什麼動物？,黑色大狗
天狼星·布萊克的家族座右銘？,永遠純淨（中國譯：永遠純粹）
有個黑魔法製作的照明道具，是小偷和盜賊的最愛，其名為？,光榮之手
金探子翅膀是什麼顏色？,銀色
海格使用什麼交通工具把小哈利·波特送到水蠟樹街4號？,會飛的摩托車
有誰知道，哈利·波特的中間名是什麼？,詹姆
石內卜告訴哈利什麼藥材可以解毒？,毛糞石
活米村妖精叛亂的時間是？,1612年
哪個來自禁忌森林的人馬成了霍格華茲的教授？,翡冷翠
老湯姆·瑞斗的墓碑在哪？,小漢果頓
第一顆金探子製作者（鮑曼·賴特）的居住地？,高錐客洞
《初級變形指南》的作者是？,愛莫瑞·思為奇
霍格華茲的圖書館管理員是誰？,朋夫人
衛氏巫師法寶店在斜角巷幾號？,斜角巷93號
請問「黏痰過多」的黏痰指的是？,花兒·戴樂古
騎士公車的售票員叫什麼名字？,史坦·桑派
斜角巷裡，專門販售大釜的店由誰經營？,派特奇女士
榮恩現影術分體後，妙麗用什麼治療他的傷口？,白鮮液
哪個故事沒有被收錄在《吟遊詩人皮陀故事集》中？,巫師的飛天掃把
哈利和榮恩駕駛的福特安格利亞車最後撞到了什麼？,渾拚柳
恩不裡居的黑魔法防禦術課使用的課本是什麼？,《魔法防禦理論》
鄧不利多將什麼遺贈給妙麗？,《吟遊詩人皮陀故事集》
榮恩的貓頭鷹叫什麼名字？,小豬
跩哥·馬份二年級時使用的是什麼型號的飛天掃帚？,光輪2001
有人為學院整支魁地奇隊伍購買了什麼型號的飛天掃帚？,光輪2001
三巫鬥法大賽舞會上，哪支樂隊進行了表演？,怪姊妹（古怪姊妹）
路平教授使用什麼藥水讓自己變身時保持理智？,縛狼汁
下列選項中誰不是劫盜地圖的創造者？,瘋眼
《霍格華茲，一段歷史》的作者是？,芭蒂達·巴沙特
猜猜看，哈利·波特的摯友榮恩·衛斯理最擅長哪一種遊戲？,迷你巫師（台譯：巫師棋）
妙麗第一次喝變身水時原本想偽裝成誰？,米莉森·布洛德
假瘋眼穆迪在懲罰馬份時，把他變成了？,純白雪貂
瘋眼漢穆迪曾如何「懲罰」跩哥·馬份？（P.S：這個有嚴重的錯誤，那不是穆迪而是小巴蒂克勞奇）,他把跩哥變成了一隻白鼬
史拉轟教授最喜歡的食物是什麼？,菠蘿蜜餞（台譯：糖霜鳳梨）
有誰知道，食童怪喜歡吃什麼？,小孩
魯霸·海格的父母中誰是巨人？,母親是巨人
哈利·波特曾經被叫作過什麼？,爛爛爛疤頭
哈利二年級開學時，以什麼交通方式到達了霍格華茲？,一輛會飛的車
妙麗發現蛇妖通過什麼在城堡中移動？,渠道
露娜羅古德的護法是什麼型態？,野兔
下列哪本書是魔法界的著名漫畫？,《瘋麻瓜馬丁·米格冒險記》
歷史上，是誰摧毀了分靈體魔佛羅·剛特的戒指？,阿不思·鄧不利多
霍格華茲通往活米村的密道藏在哪裡？,駝背獨眼女巫雕像後面
猜猜看，以前奈威·隆巴頓教授的寵物蟾蜍名叫什麼？,吹寶
瘋眼穆迪在魔法部擔任什麼職位時受了很多傷？,正氣師
貓頭鷹愛好者注意，愛落是誰的貓頭鷹？,衛斯理一家
哈利一年級時，霍格華茲城堡中的哪個地方是禁止學生入內的？,四樓走廊
哈利在火車上拆巧克力蛙卡片時，獲得的第一個人物是？,阿不思·鄧不利多
馬份用於詛咒鄧不利多的項鏈最後讓誰遭受了詛咒？,凱娣·貝爾
哪一種龍被認為是最美的龍？,紐澳彩眼龍
斜角巷上哪一家酒巴被巫師公認為倫敦最古老的酒吧？,破釜酒吧
受到催狂魔的襲擊後，食用哪種食物可以有效緩解不適？,巧克力
有誰知道，哈利在哪裡購買了課本？,華麗與污痕書店
雷木思·路平、天狼星·布萊克、詹姆·波特和彼得·佩迪魯的組合名稱是什麼？,劫盜者
史萊哲林交誼廳位於哪裡？,地下室
賽佛勒斯·石內卜學生時代被起什麼外號？,鼻涕蔔（台譯：鼻涕精）
大家知道海格教授的粉紅色雨傘裡隱藏著什麼？,他的舊魔杖
曾經，弗雷和喬治偷偷用什麼偷聽鳳凰會會議？,伸縮耳
紐特·斯卡曼德前往紐約是為了送哪種動物回家？,雷鳥
在衛斯理法寶店裡買不到什麼東西？,酸酸果
火螃蟹的殼上覆蓋著什麼？,寶石
人們能從意若思鏡中看到什麼？,最渴望的事物
哈利在哪裡找到了魔法石？,他的口袋裡
學生時期哈利的職業規劃是什麼？,正氣師
《預言家日報》上鄧不利多的訃告是誰寫的？,艾飛·道奇
訓練鄧不利多軍成員時，哈利說哪個咒語是巫師的必備咒語？,中了昏擊咒
哈利波特第一次抓住金探子是用哪裡抓住的？,用嘴抓住
誰預言了一個七月出生的男孩將挑戰佛地魔？,西碧·崔老妮
吉德羅·洛哈使用了誰的魔杖施展遺忘咒後失去了記憶？,榮恩·衛斯理
莉莉·伊凡第一個認識的巫師是誰？,賽佛勒斯·石內卜
史萊哲林的幽靈是？,血腥男爵
血腥男爵曾經殺了誰？,格雷女士（台譯：灰女士）
格雷女士（灰女士）生前的名字為？,海蓮娜·雷文克勞
看守魔法石的三頭犬叫作什麼？,路威
當哈利因為違反巫師保密法而接受審判時，證人是？（魔法部最終採用了誰的證詞？）,阿拉貝拉·費格（費格太太）
化獸師形態下的天狼星·布萊克被稱為獸足或什麼？,傷風（台譯：塞鼻子）
海格曾說，除了霍格華茲之外，世界上最安全的地方是哪裡？,古靈閣
參加史拉轟教授晚宴的成員們加入了什麼團體？,史拉俱樂部
史萊哲林的小金匣由誰保管？,怪角
普通巫術等級測驗總共有幾個科目？,12
胖夫人是哪個學院門口的畫像？,葛萊分多
進入魔法部打的電話號碼是多少？,62442
一加隆等於多少西可？,17西可
哪些人目睹桃樂絲·恩不里居開除了海格？,O.W.L.S.的學生
石內卜教授的母親？,艾琳·普林斯
誰用假的小金匣替換真金匣？,獅子阿爾發·布萊克
哪一種魔藥含有毛蟲切片？,縮身藥水
電台播放反對佛地魔的廣播？,波特觀察
妙麗·格蘭傑曾經收過麥教授的禮物是什麼？,時光器（台譯：時間轉換器）
七個波特之戰中是因為施放什麼咒語才被發現？,繳械咒
花兒·戴樂古在耶誕舞會上的舞伴是誰？,羅傑·達維
要搭車號多少的霍格華茲特快車才可以進入學校？,5972
魔法石是什麼顏色的？,紅色
石內卜在七個波特之戰中用撕淌三步殺誤傷弗雷其實是想救誰？,雷木思·路平
破壞赫夫帕夫的小金杯的人是？,妙麗·格蘭傑
人魚會養什麼當寵物？,滾帶落
誰曾經使用時光器（時間轉換器）解決課程時間衝突的問題？,妙麗·格蘭傑
幽靈血腥男爵最喜歡的女孩是誰？,海蓮娜·雷文克勞
麥教授認為霍格華茲最不準確的學科是什麼？,占卜學
聖蒙果中的一個牌子上寫著：乾淨的大釜可以讓魔藥不變成什麼？,毒藥
英國魔法部魔法兄弟噴泉中不包含下列哪種生物？,黑妖精／火龍
尖叫屋在什麼地方呢？,活米村
哈利波特的魔杖是什麼材質？,冬青木
曾為克勞奇家族服務過的家庭小精靈是誰？,閃閃
如果有人試圖闖入古靈閣713號金庫，會發生什麼？,被吸入門中
有人知道是什麼讓娜吉妮變成一條蛇嗎？,血咒
呼嚕粉是由誰發明的？,伊格內希婭·懷爾德史密斯
吉德羅·洛哈曾經發明過一種洗髮水，其中含有下列哪種成分？,兩腳蛇蛋黃
三巫鬥法大賽的第一個項目中，喀浪挑戰了什麼龍？,中國火球龍
大家知道飛七的貓叫什麼名字嗎？,拿樂絲太太
什麼遊戲與麻瓜的彈子遊戲（打彈珠）類似？,高布石遊戲（台譯：多多石）
哈利·波特進入霍格華茲第一天的葛萊分多交誼廳的密語是什麼？,龍渣
魔法史課上，同學們總是把惡魔埃默里克和誰搞混？,怪胎烏瑞克
什麼魔法物品可以用於製造長生不老藥？,魔法石
當年妙麗用什麼方法同時修多門課程？,時光器（台譯：時間轉換器）
麥教授曾經被什麼擊中，進了聖蒙果醫院？,她被四發昏擊咒擊中
阿茲卡班的守衛是什麼？,催狂魔
犄角獸可以在哪裡被發現？,瑞典
哈利·波特在火盃第二項比賽中使用了哪種植物？,魚鰓草
瑪麗·卡特摩的丈夫雷格·卡特摩曾在魔法部的哪裡工作？,魔法維護局
麥教授的化獸師形態是什麼？,虎斑貓
霍格華茲特快車上賣零食的女售貨員叫什麼名字？,沒人知道
霍格華茲歷史上，誰在萬應室放出了惡魔之火？,文森特·克拉布
石內卜教授最想要教導的課程是什麼？,黑魔法防禦術
萬應室在城堡幾樓？,8樓
石內卜的護法,母鹿
西莫面對幻形怪時，它會變成什麼？,報喪女妖
狼人灰背是什麼頭目？,搜捕隊頭目
誰把湯姆瑞斗的日記放入金妮的大釜？,魯休斯馬份
地精的天敵是？,魔貂
什麼樣的人看的到騎士墜鬼馬？,目睹過死亡
為何學生懷疑哈利是史萊哲林的後代？,他會說爬說語
奧利凡德魔杖商店創立於？,西元前382年
霍格華茲特快車出現前，學生如何去學校？,港口鑰
隱匿怪是幻影猿和什麼結合的後代？,惡鬼
哪裡可以買到雙頭無尾水螈？,奇獸動物園
哪種甜點會把舌頭燒出洞？,酷酸果
誰創建了S.P.E.W？,妙麗格蘭傑
請問紐特·斯卡曼德給蒂娜·戈德斯坦的情書中寫到蒂娜的眼睛像哪種生物？,火蜥蜴
傳聞中哪一個童話故事提到了死神聖物的起源？,《三兄弟的傳說》
誰是哈利·波特的第三任黑魔法防禦術老師？,雷木思·路平
霍格華茲不允許學生帶什麼寵物入學？,八眼巨蛛
麥教授曾是哪個學院的院長？,葛萊分多
英國魔法部的來賓入口是什麼建築物？,電話亭
有誰了解多比？他屬於什麼物種？,家庭小精靈
三巫鬥法大會上，哈利的舞伴是誰？,芭蒂·芭提
什麼草藥有強大的治癒效果？,白鮮
學院幽靈差點沒頭的尼克的本名是什麼？,尼古拉斯·德·敏西-波平頓
請問接骨木魔杖的第一代主人是誰？,安提歐·皮福雷
哈利·波特在三巫鬥法大賽帶回了誰的屍體？,西追·迪戈里
有誰知道，為什麼血腥男爵總帶著鎖鏈嗎？,內心懺悔
狼人焚銳·格雷貝克是什麼邪惡群體的頭目？,搜捕隊頭目
《千種神奇藥草及蕈類》的作者是誰？,費麗·斯波兒
歷史上葛萊芬多交誼廳入口在胖夫人受到驚嚇後，由誰臨時守護？,卡多甘爵士
在巫師世界，龍屬於高危險性魔法生物，魯霸·海格得到火龍蛋的方式是？,酒館贏得的
奈威·隆巴頓教授最擅長的科目是什麼？,草藥學
麥朵因什麼生物而死？,蛇妖
貓頭鷹愛好者們，知道哈利的貓頭鷹嘿美是什麼品種嗎？,雪鴞
金探子被發明之前，魁地奇比賽中使用的是哪一種生物？,金探鳥
丙斯教授在霍格華茲教哪一門課程？,魔法史
誰能說出糞石取自何處？,山羊的胃
鄧不利多的軍隊通過什麼硬幣來交流資訊？,假加隆
《預言家日報》的記者麗塔·史譏能變成什麼？,甲蟲
誰是布萊克家族的家庭小精靈？,克利切
現存最強勁的愛情魔藥是什麽？,意亂情迷水
霍格華茲一年級新生不被允許帶什麼入校？,飛天掃帚
下列哪一個詞不適合描述海格的狗––牙牙？,勇敢
哈利·波特在三巫鬥法大賽中需要從哪種龍那裡取走金蛋？,匈牙利角尾龍龍
一個有趣的問題，先有火焰，還是先有鳳凰？,循環往復，沒有起點
照妖鏡的作用？,顯示你的敵人正在逼近
傳聞中，詹姆·波特的化獸師型態是什麼？,雄鹿
英國魔法部使用什麼方式取代了貓頭鷹傳遞資訊？,紙飛機
是誰讓哈利·波特知道巧克力可以緩解催狂魔帶來的負面情緒？,雷木思·路平
霍格華茲的飛行課教師是誰？,胡奇夫人
榮恩·衛斯理最喜歡的魁地奇球隊是什麼隊？,查德利砲彈隊
一次魁地奇比賽中，哈利·波特骨折後誰給他使用了生骨靈？,龐芮夫人
魁地奇比賽中，什麼位置負責擊打搏格？,打擊手
魔柔·剛特將史萊哲林小金匣賣了多少錢？,10加隆
人馬翡冷翠曾在霍格華茲教授哪一門課程？,占卜學
露娜認為哪種植物可以用於驅趕貪吃長腿魚？,戈迪根
接骨木魔杖的杖芯是什麼？,騎士墮鬼馬的尾毛
Q : 鄧不利多最後一次與哈利見面的地方？,王十字車站
佛地魔控制下的魔法部內大廳雕像上寫著什麼？  ,"魔法即""強權""（台譯：魔法即是力量）"
榮恩的魔杖是什麼原因弄斷的？,渾拚柳
在小漢靈頓墓地中，西追.迪戈里拜託哈利波特什麼事？,把他的屍體帶回去給他父母
魁地奇賽事中追捕手用什麼方式來抓捕金探子？,隆斯基詐騙法(台譯：朗斯基防禦性假動作)
在逃亡途中哈利波特從哪裡獲得葛萊芬多寶劍？,湖底
哈利波特把什麼遺落在禁忌森林？,重生石
哪一種翠綠色藥水會讓人感到恐懼或幻覺？,絕望藥水
哈利為什麼沒有收到魔法部的第一封警告信？,被多比攔截了
什麼物種自願被認作為野獸？,人馬
露娜為什麼要穿襪睡？,她會夢遊
奧利凡德不曾用過哪種材料製作魔杖？,迷拉的頭髮
洛夫古德（羅古德）家的造型像迷你巫師哪個棋子？,大車
下列哪個不是衛斯理雙胞胎的發明？,變熱假加隆
呱啦第一次見到妙麗時送她什麼？,自行車手把
誰在第二次巫師世界大戰用雙面鏡幫助哈利？,阿波夫.鄧不利多
1792年三巫鬥法大會中什麼生物橫衝直往而使三位裁判受傷？,雞蛇
誰是默然者？,克萊登斯·巴瑞波恩（台譯：魁登斯·巴波）
誰反對把皮皮鬼趕出城堡？,胖修士
鄧不利多和葛林戴華德在哪裡認識的？,高錐克洞
阿不福思·鄧不利多讓誰去馬份宅去救哈利三人組？,多比
哈利三人組在誰的幫助下溜進古靈閣？,拉環
哈利第一次受邀去參加史拉轟的派對時是和誰站在一起？,露娜.羅古德
鄧不利多曾經擁有幾件死亡聖器？,3
高布石像麻瓜的哪種遊戲？,彈子遊戲（台譯：彈珠遊戲）
現今還有多少純血巫師家族？,28
接納之筆將可入學的英國小巫師記錄在什麼上？,收錄冊
據茉莉所知，亞瑟·衛斯理的夢想是？,弄清麻瓜的飛機怎麼飛上天
什麼生物的皮比龍還堅硬，可以擋下大部分魔法？,紫角獸
吉羅德·洛哈聲稱他做的洗髮水還有什麼成分？,兩腳蛇蛋黃
派西·衛斯理曾在陋居讀過什麼書？,級長該如何獲得權力
誰告訴哈利盥洗室是通往密室的入口？,跩哥.馬份
哈利的初戀是誰？,張秋
《為消遣和盈利而飼養火龍》中建議用什麼餵養新出生的龍？,白蘭地混雞血
海格教授曾經養大的八眼巨蛛叫什麼名字？,阿辣哥
有誰好奇路平教授的幻形怪型態是什麼嗎？,滿月
請問學院幽靈格雷女士的原名是？,海蓮娜·雷文克勞
哈利在級長浴室遇到了誰？,愛哭鬼麥朵
聖蒙果魔法疾病與傷害醫院的院徽是什麼？,魔杖和骨頭交叉
傳聞中的預言廳在哪裡？,魔法部
差點沒頭的尼克喜歡別人叫他什麼？,尼古拉斯爵士
考考你們，食死人貝拉·雷斯壯的妹妹是誰？,納西莎·馬份
霍格華茲最高的塔樓是什麼？,天文塔
福來福喜的重要配方之一是哪種生物的蛋殼？,兩腳蛇
鄧不利多在青年時期最好的朋友是誰？,蓋勒·葛林戴華德
當桃樂絲·恩不里居從霍格華茲離開時，皮皮鬼用什麼東西攻擊她？,拐杖和裝滿了粉筆的襪子
誰用的杖芯材料是山怪的鬍鬚？,卡多甘爵士
三巫鬥法大賽第二個項目誰變成了鯊魚？,維克多·喀浪
霍格華茲 (Hogwarts) 是個什麼地方？,魔法學校
巫師主要會使用什麼動物來進行通訊？,貓頭鷹
《哈利波特》第四集的名字是？,火盃的考驗
「麻瓜 (Muggle) 」是指什麼？,不會魔法的人
哈利‧波特 (Harry Potter)屬於霍格華茲的什麼學院 (House) ？,葛來分多 (Gryffindor)
榮恩‧衛斯理 (Ron Weasley)屬於霍格華茲的什麼學院 (House) ？,葛來分多 (Gryffindor)
妙麗‧格蘭傑 (Hermione Granger)屬於霍格華茲的什麼學院 (House) ？,葛來分多 (Gryffindor)
跩哥‧馬份 (Draco Malfoy)屬於霍格華茲的什麼學院 (House) ？,史萊哲林 (Slytherin)
紐特·斯卡曼德 (Newt Scamander)屬於霍格華茲的什麼學院 (House) ？,雷文克勞 (Ravenclaw)
繳械咒 (Disarming Charm) 的咒語是？,去去，武器走 (Expelliarmus)
在王十字車站，哪個月台可以搭上霍格華茲特快列車 (Hogwarts Express) 前往霍格華茲？,9 3/4月台
多比 (Dobby) 是什麼生物？,家庭小精靈 (House-elf)
哈利‧波特帶到霍格華茲 (Hogwarts) 去的寵物是？,貓頭鷹 (Owl)
魁地奇 (Quidditch) 比賽中，最常被接觸到的球體是？,搏格 (Bludger)
葛來分多 (Gryffindor)的代表色是？,金 (gold)、紅 (red)
史萊哲林 (Slytherin)的代表色是？,綠 (green)、銀 (silver)
雷文克勞 (Ravenclaw)的代表色是？,青銅 (bronze)、藍 (blue)
赫夫帕夫 (Hufflepuff)的代表色是？,黑 (black)、黃 (yellow)
接骨木魔杖 (The Elder Wand)、重生石 (The Resurrection Stone)、隱形斗篷 (The Cloak of Invisibility)、魔法石 (The Philosopher's Stone)以下哪一種不是死神的聖物 (Deathly Hallows) 之一？,魔法石 (The Philosopher's Stone)
以下六人中，有哪些人是巫師 (Wizard/Witch)：威農·德思禮 (Vernon Dursley)、阿各‧飛七 (Argus Filch)、榮恩‧衛斯理 (Ron Weasley)、妙麗‧格蘭傑 (Hermione Granger)、雅各‧科沃斯基 (Jacob Kowalski)、阿拉貝拉·費 (Arabella Figg)？,榮恩‧衛斯理 (Ron Weasley)、妙麗‧格蘭傑 (Hermione Granger)
以下六人中，有哪些人是麻瓜 (Muggle)：威農·德思禮 (Vernon Dursley)、阿各‧飛七 (Argus Filch)、榮恩‧衛斯理 (Ron Weasley)、妙麗‧格蘭傑 (Hermione Granger)、雅各‧科沃斯基 (Jacob Kowalski)、阿拉貝拉·費 (Arabella Figg)？,威農·德思禮 (Vernon Dursley)、雅各‧科沃斯基 (Jacob Kowalski)
以下六人中，有哪些人是爆竹 (Squib)：威農·德思禮 (Vernon Dursley)、阿各‧飛七 (Argus Filch)、榮恩‧衛斯理 (Ron Weasley)、妙麗‧格蘭傑 (Hermione Granger)、雅各‧科沃斯基 (Jacob Kowalski)、阿拉貝拉·費 (Arabella Figg)？,阿各‧飛七 (Argus Filch)、阿拉貝拉·費 (Arabella Figg)
意若思鏡 (The Mirror of Erised) 是取名自哪個英文詞語？,Desire
賽佛勒斯·石內卜 (Severus Snape)屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)
天狼星‧布萊克 (Sirius Black)屬於霍格華茲的什麼學院？,葛來分多 (Gryffindor)
奥利佛·木透 (Oliver Wood)屬於霍格華茲的什麼學院？,葛來分多 (Gryffindor)
露娜‧羅古德 (Luna Lovegood)屬於霍格華茲的什麼學院？,雷文克勞 (Ravenclaw)
西追‧迪哥里 (Cedric Diggory)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
記憶球 (Remembrall) 會在使用者忘記某件事情的時候變成什麼顏色？,紅色
飄浮咒 (Levitation Charm) 的咒語是？,溫咖癲啦唯啊薩 (Wingardium Leviosa)
麥米奈娃 (Minerva McGonagall) 教授的科目是？,變形學 (Transfiguration)
白鮮香精 (Essence of Dittany) 的作用是什麼？,使傷口癒合
根據分類帽 (Sorting Hat) 在1994年分類儀式前高歌的歌曲，霍格華茲四位創辦人分別對自己學院的學生，認為應該要是怎樣的人？,"葛來分多 (Gryffindor):勇者、史萊哲林 (Slytherin):野心勃勃的人、雷文克勞 (Ravenclaw):智者、赫夫帕夫 (Hufflepuff):勤奮的人	"
